Codes,Number of coding references,Aggregate number of coding references,Number of items coded,Aggregate number of items coded
Codes\\transcripts\\boat\150 catcher boats,1,1,1,1
Codes\\transcripts\\boat\32 foot boat,1,1,1,1
Codes\\transcripts\\boat\aluminum boat,1,1,1,1
Codes\\transcripts\\boat\big aluminum boats,1,1,1,1
Codes\\transcripts\\boat\big drift boat,3,3,1,1
Codes\\transcripts\\boat\boat license,1,1,1,1
Codes\\transcripts\\boat\boating safety class,2,2,1,1
Codes\\transcripts\\boat\bow picker boat,1,1,1,1
Codes\\transcripts\\boat\cabin boat,2,2,1,1
Codes\\transcripts\\boat\combination dragger salmon fishing boat,3,3,1,1
Codes\\transcripts\\boat\commercial fishing boat,2,2,1,1
Codes\\transcripts\\boat\company boat,1,1,1,1
Codes\\transcripts\\boat\drift boats,1,1,1,1
Codes\\transcripts\\boat\fast boats,1,1,1,1
Codes\\transcripts\\boat\fishing boat,2,2,1,1
Codes\\transcripts\\boat\foot boat,3,3,1,1
Codes\\transcripts\\boat\mail boat,2,2,1,1
Codes\\transcripts\\boat\oaring boat,1,1,1,1
Codes\\transcripts\\boat\operating boats,1,1,1,1
Codes\\transcripts\\boat\pictures boats,1,1,1,1
Codes\\transcripts\\boat\processing boat,3,3,1,1
Codes\\transcripts\\boat\running boats,1,1,1,1
Codes\\transcripts\\boat\seas police boats,2,2,1,1
Codes\\transcripts\\boat\seventy-two-foot steel boat,2,2,1,1
Codes\\transcripts\\boat\shrimp boats,2,2,1,1
Codes\\transcripts\\boat\small boat fishery,2,2,1,1
Codes\\transcripts\\boat\small boats,3,3,1,1
Codes\\transcripts\\boat\test boat captain,1,1,1,1
Codes\\transcripts\\boat\trooper boat,1,1,1,1
Codes\\transcripts\\boat\wood boat,1,1,1,1
Codes\\transcripts\\boat\wooden boat goin,1,1,1,1
Codes\\transcripts\\crab\backhand crab,1,1,1,1
Codes\\transcripts\\crab\backing crab,1,1,1,1
Codes\\transcripts\\crab\bairdi tanner crabs,2,2,1,1
Codes\\transcripts\\crab\brown crab,3,3,1,1
