"cat","var00","freq","n_interviews","freq_rel","var001"
"Boat","Kings of the Yukon",3,3,1,"Kings of the Yukon
(3)"
"Boat","Oregon Residents in Alaska's Historical Fishing",10,5,2,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Boat","West Side Stories",3,1,3,"West Side Stories
(1)"
"Boat","Women in Alaska Fisheries",25,15,1.66666666666667,"Women in Alaska Fisheries
(15)"
"Crab","Kings of the Yukon",3,3,1,"Kings of the Yukon
(3)"
"Crab","Oregon Residents in Alaska's Historical Fishing",13,5,2.6,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Crab","West Side Stories",0,1,0,"West Side Stories
(1)"
"Crab","Women in Alaska Fisheries",23,15,1.53333333333333,"Women in Alaska Fisheries
(15)"
"Fishing","Kings of the Yukon",20,3,6.66666666666667,"Kings of the Yukon
(3)"
"Fishing","Oregon Residents in Alaska's Historical Fishing",29,5,5.8,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Fishing","West Side Stories",14,1,14,"West Side Stories
(1)"
"Fishing","Women in Alaska Fisheries",105,15,7,"Women in Alaska Fisheries
(15)"
"Net","Kings of the Yukon",2,3,0.666666666666667,"Kings of the Yukon
(3)"
"Net","Oregon Residents in Alaska's Historical Fishing",5,5,1,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Net","West Side Stories",0,1,0,"West Side Stories
(1)"
"Net","Women in Alaska Fisheries",33,15,2.2,"Women in Alaska Fisheries
(15)"
"Salmon","Kings of the Yukon",3,3,1,"Kings of the Yukon
(3)"
"Salmon","Oregon Residents in Alaska's Historical Fishing",9,5,1.8,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Salmon","West Side Stories",6,1,6,"West Side Stories
(1)"
"Salmon","Women in Alaska Fisheries",24,15,1.6,"Women in Alaska Fisheries
(15)"
