"cat","var00","freq","n_interviews","freq_rel","var001"
"Boat","Commercial",14,7,2,"Commercial
(7)"
"Boat","Commercial & Subsistence",21,11,1.90909090909091,"Commercial & Subsistence
(11)"
"Boat","Subsistence",6,6,1,"Subsistence
(6)"
"Crab","Commercial",14,7,2,"Commercial
(7)"
"Crab","Commercial & Subsistence",23,11,2.09090909090909,"Commercial & Subsistence
(11)"
"Crab","Subsistence",2,6,0.333333333333333,"Subsistence
(6)"
"Fishing","Commercial",43,7,6.14285714285714,"Commercial
(7)"
"Fishing","Commercial & Subsistence",78,11,7.09090909090909,"Commercial & Subsistence
(11)"
"Fishing","Subsistence",47,6,7.83333333333333,"Subsistence
(6)"
"Net","Commercial",6,7,0.857142857142857,"Commercial
(7)"
"Net","Commercial & Subsistence",26,11,2.36363636363636,"Commercial & Subsistence
(11)"
"Net","Subsistence",8,6,1.33333333333333,"Subsistence
(6)"
"Salmon","Commercial",11,7,1.57142857142857,"Commercial
(7)"
"Salmon","Commercial & Subsistence",20,11,1.81818181818182,"Commercial & Subsistence
(11)"
"Salmon","Subsistence",11,6,1.83333333333333,"Subsistence
(6)"
