"cat","var00","freq","n_interviews","freq_rel","var001"
"Boat","Indigenous",17,12,1.41666666666667,"Indigenous
(12)"
"Boat","Non-indigenous",24,12,2,"Non-indigenous
(12)"
"Crab","Indigenous",18,12,1.5,"Indigenous
(12)"
"Crab","Non-indigenous",21,12,1.75,"Non-indigenous
(12)"
"Fishing","Indigenous",73,12,6.08333333333333,"Indigenous
(12)"
"Fishing","Non-indigenous",95,12,7.91666666666667,"Non-indigenous
(12)"
"Net","Indigenous",21,12,1.75,"Indigenous
(12)"
"Net","Non-indigenous",19,12,1.58333333333333,"Non-indigenous
(12)"
"Salmon","Indigenous",15,12,1.25,"Indigenous
(12)"
"Salmon","Non-indigenous",27,12,2.25,"Non-indigenous
(12)"
