"cat","var00","freq","n_interviews","freq_rel","var001"
"Moderately negative","Kings of the Yukon",75,3,25,"Kings of the Yukon
(3)"
"Moderately negative","Oregon Residents in Alaska's Historical Fishing",155,5,31,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Moderately negative","West Side Stories",14,1,14,"West Side Stories
(1)"
"Moderately negative","Women in Alaska Fisheries",268,15,17.8666666666667,"Women in Alaska Fisheries
(15)"
"Moderately positive","Kings of the Yukon",144,3,48,"Kings of the Yukon
(3)"
"Moderately positive","Oregon Residents in Alaska's Historical Fishing",145,5,29,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Moderately positive","West Side Stories",25,1,25,"West Side Stories
(1)"
"Moderately positive","Women in Alaska Fisheries",439,15,29.2666666666667,"Women in Alaska Fisheries
(15)"
"Very negative","Kings of the Yukon",42,3,14,"Kings of the Yukon
(3)"
"Very negative","Oregon Residents in Alaska's Historical Fishing",95,5,19,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Very negative","West Side Stories",10,1,10,"West Side Stories
(1)"
"Very negative","Women in Alaska Fisheries",225,15,15,"Women in Alaska Fisheries
(15)"
"Very positive","Kings of the Yukon",44,3,14.6666666666667,"Kings of the Yukon
(3)"
"Very positive","Oregon Residents in Alaska's Historical Fishing",40,5,8,"Oregon Residents in Alaska's Historical Fishing
(5)"
"Very positive","West Side Stories",19,1,19,"West Side Stories
(1)"
"Very positive","Women in Alaska Fisheries",170,15,11.3333333333333,"Women in Alaska Fisheries
(15)"
