"id","date","weighted_percent","percent_category","confidence_score","location_category","latitude","longitude","geometry","location_category0"
"1",2017-06-11,13.26,3,NA,"LOI",59.06233663,-160.37416227,c(-363838.750615029, 1024919.63564022),"Location of Interview"
"1",2017-06-11,13.26,3,4,"Additional",59.77625647,-151.86174539,c(119648.898705676, 1089196.10978483),"Mentioned in Interview"
"2",2017-06-19,8.61,2,NA,"LOI",58.72812929,-157.01534333,c(-174017.509782175, 974038.393768806),"Location of Interview"
"2",2017-06-19,8.61,2,4,"Additional",58.87255391,-157.01109533,c(-173040.837334735, 990153.864364926),"Mentioned in Interview"
"2",2017-06-19,8.61,2,3,"Additional",59.03704937,-156.85431188,c(-163246.4731197, 1008127.27261753),"Mentioned in Interview"
"3",2017-06-05,8.64,2,NA,"LOI",59.03994724,-158.46468289,c(-255212.825016679, 1013524.52261132),"Location of Interview"
"3",2017-06-05,8.64,2,4,"Additional",58.8352026,-158.55158959,c(-261740.323839954, 991028.136007232),"Mentioned in Interview"
"4",2015-07-27,13.73,3,NA,"LOI",62.77739641,-164.53807958,c(-534269.639005186, 1465366.95582108),"Location of Interview"
"5",2017-06-17,11.5,3,NA,"LOI",58.72736463,-157.01857175,c(-174207.579205002, 973961.47929755),"Location of Interview"
"6",2010-07-13,5.85,2,4,"Oregon",56.29423838,-158.40855145,c(-272348.238541244, 707366.403944571),"Location of Interview (Oregon)"
"6",2010-07-13,5.85,2,4,"Oregon",57.78941104,-152.40658048,c(94496.4334917825, 866334.190640906),"Location of Interview (Oregon)"
"7",2017-06-17,11.7,3,NA,"LOI",58.73033169,-157.01987648,c(-174267.750886135, 974296.190916559),"Location of Interview"
"1",2017-06-11,13.26,3,3,"Additional",59.6802544,-162.53764219,c(-477879.009583907, 1107294.14509596),"Mentioned in Interview"
"8",2018-07-30,8.55,2,NA,"LOI",58.72789035,-157.02155147,c(-174376.753426522, 974027.998847721),"Location of Interview"
"9",2018-07-31,17.53,4,NA,"LOI",59.03897253,-158.46298897,c(-255123.459145161, 1013409.29621631),"Location of Interview"
"10",2017-06-07,4.06,1,NA,"LOI",59.04021071,-158.46009118,c(-254948.769343275, 1013536.27329862),"Location of Interview"
"11",2017-06-20,9.76,2,NA,"LOI",59.03959412,-158.46897618,c(-255460.52462928, 1013501.64297081),"Location of Interview"
"12",2018-08-02,4.5,1,NA,"LOI",59.04143705,-158.46815371,c(-255399.729806969, 1013704.03680667),"Location of Interview"
"13",2018-08-02,2.92,1,NA,"LOI",59.04191593,-158.4616637,c(-255025.725552749, 1013732.50985952),"Location of Interview"
"14",2017-06-05,14.71,3,NA,"LOI",59.04117091,-158.45704882,c(-254767.923884643, 1013631.69811017),"Location of Interview"
"15",2018-08-01,4.92,1,NA,"LOI",59.04374586,-158.45820962,c(-254814.866814654, 1013923.36055921),"Location of Interview"
"16",2018-07-28,12.85,3,NA,"LOI",59.03804983,-158.47194114,c(-255641.370958042, 1013340.80524853),"Location of Interview"
"17",2018-07-29,6.01,2,NA,"LOI",58.72535791,-157.02058759,c(-174334.035032019, 973742.708235527),"Location of Interview"
"18",2015-05-27,6.68,2,1,"Additional",57.78798703,-152.40319679,c(94700.8857138361, 866180.004971796),"Mentioned in Interview"
"19",2015-07-27,3.68,1,NA,"LOI",62.77764066,-164.53198863,c(-533959.116541749, 1465344.92791602),"Location of Interview"
"20",2015-07-28,21.58,4,NA,"LOI",62.77638112,-164.53059614,c(-533911.342649963, 1465194.71057933),"Location of Interview"
"8",2018-07-30,8.55,2,4,"Additional",59.11219626,-156.85677447,c(-163025.962010796, 1016526.47375254),"Mentioned in Interview"
"9",2018-07-31,17.53,4,4,"Additional",58.80297012,-158.55360609,c(-262102.944786773, 987441.69701178),"Mentioned in Interview"
"11",2017-06-20,9.76,2,1,"Additional",59.28799954,-158.6964231,c(-266478.659224058, 1042100.68886571),"Mentioned in Interview"
